2086	3846	47
1601	3847	51
3355	3848	33
3798	3849	47
427	3850	47
3177	3851	9
79	3852	33
715	3853	33
1840	3854	51
1733	3849	47
1276	3855	42
484	3856	33
3738	3857	11
3738	3858	46
613	3859	47
1865	3860	47
432	3861	51
2241	3862	8
2241	3863	18
684	3864	47
643	3865	51
1613	3866	42
2741	3867	51
1475	3868	51
1059	3869	33
1438	3870	47
1580	3871	33
538	3872	42
152	3873	51
1443	3874	47
416	3875	33
3390	3876	51
3279	3877	51
1479	3878	33
68	3879	51
68	3880	51
383	3881	33
2635	3882	51
3831	3883	47
3384	3884	51
1163	3885	47
3661	3886	51
541	3887	47
829	3888	47
3827	3889	33
1153	3890	51
3444	3891	47
3425	3892	47
3317	3893	33
2141	3894	51
1324	3895	42
2786	3896	33
3539	3897	47
2359	3898	33
2370	3899	42
2125	3900	33
3792	3901	33
1473	3902	33
3529	3903	13
3784	3904	0
749	3864	47
2890	3905	33
789	3906	51
2726	3907	33
3109	3908	51
3498	3909	51
2913	3910	33
3729	3911	33
2622	3912	33
628	3913	33
472	3914	42
70	3915	33
447	3916	47
368	368	28
2636	3917	51
147	3918	51
1467	3919	51
3166	3920	51
2460	3921	51
79	3922	51
1840	3923	33
2517	3897	47
484	3924	51
3738	3925	46
3441	3926	47
119	3927	43
3248	3928	34
2241	3929	8
2241	3930	8
795	3931	33
1674	3932	47
591	3933	33
1656	3934	51
3031	3935	33
2880	3936	51
2275	3937	33
643	3938	51
2707	3939	33
2493	3940	51
538	3941	51
2547	3916	42
2008	3942	47
2843	3943	33
444	3944	47
2051	3945	42
2598	3946	47
176	3947	47
3544	3948	51
1057	3949	51
3822	3950	51
997	3951	51
1142	3952	47
3774	3953	3
1157	3954	33
2621	3955	51
3723	3956	47
540	3957	33
1719	3958	33
2725	3959	9
3582	3960	33
3759	3961	47
2953	3962	33
3645	3963	42
1325	3964	20
3792	3965	33
1529	3966	42
136	3967	33
2324	3968	48
2924	3969	51
2737	3970	51
2564	3971	42
3689	3972	47
539	3973	33
539	3974	33
2080	3975	33
2214	3886	33
508	3976	33
3498	3977	51
2913	3978	51
458	3979	13
628	3980	51
3695	3695	28
319	3981	48
1082	3982	47
2636	3983	51
2688	3984	42
484	3985	33
2638	3986	47
901	3987	33
2360	3988	33
2241	3989	8
2241	3990	18
534	3991	51
2741	3992	47
434	3993	42
1664	3994	42
2870	3995	33
3049	3996	51
3153	3997	47
3078	3897	47
3433	3998	51
2051	3999	51
1834	4000	47
3688	4001	51
1057	4002	33
1907	4003	47
2222	3851	9
379	4004	51
1633	4005	33
623	4006	33
1989	4007	33
651	4008	47
3832	4009	42
824	4010	47
492	4011	51
1010	4012	13
2359	4013	42
1473	4014	33
1412	4015	51
1625	4016	33
3109	4017	51
80	4018	55
1744	4019	33
447	4020	13
1601	4021	33
1601	4022	51
1846	3923	51
2636	4023	51
3185	4024	47
79	4025	51
2208	4026	33
3738	4027	11
3738	4028	11
949	4029	45
2241	4030	8
2241	4031	18
2241	4032	18
2534	4033	51
1762	4034	33
2732	4035	35
1894	4036	13
1656	4037	51
123	4038	47
1806	4039	33
2006	4040	42
36	4041	43
405	3864	47
2888	3992	47
1323	4042	33
1786	4043	51
3007	4044	47
3763	4045	33
1738	4046	47
363	4047	33
3199	4048	33
2833	4049	51
1569	4050	42
2635	4051	33
1157	4052	0
2883	4053	47
1886	4054	33
785	4055	33
1179	4056	32
374	4057	42
3367	4058	47
1153	4059	42
1672	4036	13
1891	4060	51
149	4061	33
3412	4062	48
183	4063	42
1473	4064	51
181	4065	33
895	4066	51
1960	4067	51
1983	4068	33
3625	4013	47
2737	4069	51
66	4070	33
1238	4071	47
976	4072	33
948	4073	51
3729	3911	51
646	4074	33
1773	3886	51
3120	4075	51
319	4076	3
2121	4077	47
2070	4078	33
1353	4079	33
1308	4080	33
2682	4081	42
790	4082	33
3738	4083	11
3738	4084	46
436	4085	33
1154	4086	51
1066	4087	42
796	3977	33
400	3972	47
2867	4088	51
2241	4089	8
2241	4090	18
2241	4091	18
682	4092	51
1347	3947	42
3076	4093	47
2803	4094	47
2038	4095	51
3486	4096	33
643	4097	33
1526	3937	51
2802	4098	47
2906	4099	35
2211	4100	33
3390	4101	51
1323	4102	51
3279	4103	47
2295	4094	47
3132	4104	13
204	4105	33
206	4106	33
3381	4107	33
3023	4108	47
2635	4109	51
186	4110	51
115	4111	33
614	4112	13
410	4113	33
1179	4114	56
1989	4115	33
1748	4116	33
2050	4117	51
67	4118	33
2125	4119	33
1473	4120	51
2467	4121	42
3068	4122	13
127	127	14
39	4123	42
279	4124	33
279	4125	51
1845	4126	33
3282	4127	33
3498	4128	33
408	4129	33
974	4130	33
2636	4131	51
2597	4132	33
3821	4133	42
781	4134	42
2460	4135	51
484	4136	51
3738	4137	11
3738	4138	11
3738	4139	46
901	4140	51
2241	4141	8
2241	4142	8
2241	4143	8
2241	4144	8
2241	4145	18
2779	4146	13
1464	4147	51
3440	4148	47
1624	4149	33
1634	4150	47
2731	4151	51
1475	4152	33
2894	3851	9
1241	4153	56
1337	4154	42
3742	4155	51
3579	4156	33
2598	4157	42
3519	4158	42
2658	4159	33
1737	4160	51
206	4106	51
997	4161	51
1776	4162	33
3325	4163	33
186	4164	51
1720	4165	0
1678	4166	47
1246	4167	42
2724	4168	33
1153	4169	51
3746	4170	47
2039	4171	47
67	4172	33
2804	4094	42
2733	4173	33
3087	4174	42
181	4175	42
895	4176	51
1352	4177	51
508	4178	45
1389	4179	13
75	4180	51
437	4181	51
2636	4182	33
3740	4183	47
294	4184	51
602	4185	55
3738	4186	11
3738	4187	11
3738	4188	46
436	4189	33
3452	4190	51
1821	4191	42
2241	4192	8
2241	4193	8
2241	4194	18
516	4195	47
1464	4196	51
777	4197	51
2514	3864	47
643	4198	33
3191	4199	47
865	4200	51
865	4201	51
1806	4202	51
1772	4203	51
3665	4204	42
434	4205	51
3374	4206	51
1496	4207	33
3321	4208	33
3458	4209	51
1310	4210	51
1183	4211	47
997	4212	33
3802	4174	47
1228	4213	33
2104	3859	42
2515	4214	47
2494	4215	33
2150	4216	47
2786	4191	47
149	4217	15
3788	4218	33
67	4219	51
2734	4220	51
2079	4221	4
3404	4222	42
1910	4223	25
2265	4224	47
2270	4225	51
3598	4226	33
30	4227	51
1885	4228	51
2338	4229	33
3498	4230	51
737	4231	22
1974	4232	47
3676	4233	51
1773	4234	33
70	4235	33
2636	4236	51
147	4237	51
2070	4238	33
2070	4239	51
529	4240	51
79	4241	33
484	4242	33
3738	4243	46
1154	4244	33
2241	4245	8
2241	4246	18
2241	4247	18
2241	4248	18
2241	4249	18
2241	4250	18
54	4251	35
777	4252	33
3140	4253	33
498	4254	51
537	4255	21
1152	4256	13
865	4201	33
629	4257	45
538	4258	51
677	4259	13
3049	4260	33
28	4261	47
1965	4262	47
2715	4263	33
3026	4264	51
1332	4265	0
3648	4266	33
2711	4267	33
2919	4268	33
3565	4269	47
601	4270	33
383	4271	33
1053	4272	47
2660	4013	47
2758	4058	47
1720	4273	33
623	4274	33
1044	1044	14
